attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",6714.719772338867,657.5443994664413,0.15990865745779215,21100.608825683594,523.1159935671857,0.1656801665241402,10542.911529541016,422.0580172674292,0.10184490508066943,29562.047958374023,376.30345693992507,0.11825812571993016
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",25410.240173339844,347.5155173795177,0.042256264272801276,73887.3291015625,298.7810247017462,0.04731464009471242,10718.048095703125,415.161445129911,0.10018072455099955,30531.13555908203,364.35922337159445,0.11450449909518896
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",25402.65655517578,347.61926341821123,0.04226887930668911,73808.18939208984,299.1013881151505,0.04736537249855187,2606.1439514160156,421.8856943656559,0.4120040350866252,8555.935859680176,321.2666821584552,0.408599648400202
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",nan,,,nan,,,12961.824417114258,340.6330959442961,0.08283878792419651,37598.43063354492,293.5778372853668,0.09298133792001809
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",36615.39077758789,484.21236593056443,0.029324876812655307,95401.85546875,464.6037781648688,0.03671043736824595,42596.351623535156,416.2240267566038,0.025207365961519124,135167.32788085938,327.919943300119,0.0259104318692087
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",18446.91276550293,480.5580538940827,0.05820712862089181,52232.383728027344,424.29676123450764,0.0670511967869606,21439.96810913086,415.08646969385666,0.050081316284361195,68744.03381347656,323.6441105898326,0.05094614973428314
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",nan,,,nan,,,25564.38446044922,348.1187151811289,0.042001473794966236,72474.08294677734,306.98700524791275,0.04832408631609642
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",68067.3599243164,260.47175941011136,0.015774694731717016,162360.2294921875,272.9982744749249,0.02157082341503171,3102.5919914245605,367.6169726733251,0.3460789646101644,10282.272338867188,277.31357372646136,0.34060990845004663
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",nan,,,nan,,,37223.00720214844,238.1541193273697,0.028846186934032177,80202.75115966797,276.3250752239127,0.04366737785624983
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",53891.807556152344,655.4207892452037,0.03984805382084166,158659.04235839844,556.5678847744898,0.044068744296375056,83459.74731445312,423.2197218285509,0.025730771025568512,227387.0391845703,388.3445948477438,0.030748915123190744
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",27936.767578125,632.1742653928513,0.07686943888531754,83496.73461914062,528.7903054445751,0.08373866115714171,41161.18240356445,430.7430544514347,0.05217254516512708,114258.46099853516,387.9339280084322,0.06119375936710403
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",nan,,,nan,,,44471.6796875,398.67829499427427,0.04828879104837612,119972.77069091797,369.45661359736704,0.05827909722959572
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",103832.61108398438,340.1803217077356,0.02068216936452673,309443.84765625,285.3652715172231,0.022595067961302808,5476.57585144043,414.9105973263112,0.39212159317307305,17706.783294677734,320.82187374301344,0.39487153886960435
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",nan,,,nan,,,49657.11975097656,355.6570660908032,0.043246238581080156,156778.2745361328,281.6223353236624,0.044597408593041836
